X1,X2,X3,Kelas
6.7,6.5,5.9,Tidak Manis
7.2,7.2,6.7,Tidak Manis
6.2,6.2,6.1,Tidak Manis
6.3,6,5.7,Tidak Manis
5.9,5.9,5.7,Tidak Manis
5.8,5.8,5.6,Tidak Manis
6.4,6.4,6.3,Tidak Manis
5.2,5.1,4.7,Tidak Manis
5.9,6.1,5.6,Tidak Manis
6.4,6.4,6.1,Tidak Manis
6.2,6.8,7.5,Kurang Manis
6.2,6.6,7,Kurang Manis
3.7,4.6,5.5,Kurang Manis
6.4,6.8,6.8,Kurang Manis
6.6,6.4,4.6,Tidak Manis
6.1,6.7,5.8,Kurang Manis
5.2,6,5.4,Kurang Manis
5,4.9,5.1,Kurang Manis
5,5.6,5.8,Kurang Manis
5.6,6.3,6.8,Kurang Manis
2.7,3.7,4.6,Manis
3.9,4.6,5.4,Manis
2.8,4,4.4,Manis
3.9,5,5.2,Manis
4,4.5,4.4,Manis
4,4.8,5.5,Manis
4,4.6,5.1,Manis
3.4,4.6,4.6,Manis
3.7,4.6,5.7,Manis
4.4,4.8,4.6,Manis
6.1,5.7,5.4,Tidak Manis
6.7,7.1,6.7,Tidak Manis
5.5,5.2,5.1,Tidak Manis
7,6.6,6.4,Tidak Manis
6.5,6.3,5.7,Tidak Manis
6.5,5.9,5.7,Tidak Manis
5.4,5.5,5.4,Tidak Manis
6.1,5.7,5.8,Tidak Manis
6.1,6.1,5.5,Tidak Manis
6.3,6.1,5.4,Tidak Manis
6.1,7.1,7.2,Kurang Manis
6.5,6.7,5.8,Kurang Manis
5.8,6.4,5.9,Kurang Manis
5.6,5.8,5.5,Kurang Manis
2.5,3.2,5.3,Manis
3.4,4.2,3.1,Manis
6.2,6.8,7.3,Kurang Manis
5.5,5.9,6.4,Kurang Manis
7,8,7.7,Sangat Manis
6.6,7.1,6.5,Kurang Manis
4.1,3.7,3.9,Manis
4.2,4.7,4.7,Manis
4.4,5.8,6.4,Manis
3.9,4.4,5,Manis
3.8,4.3,4.3,Manis
4.1,4.2,4.2,Manis
4.7,6,6.5,Manis
3.9,3.8,4.6,Manis
3.4,4.2,4.2,Manis
4,3.9,3.5,Manis
7.1,6.6,8.2,Sangat Manis
3.7,4.5,5.3,Sangat Manis
5.1,5.6,6.3,Sangat Manis
7.7,8.9,10.4,Sangat Manis
7.7,7.7,8.5,Sangat Manis
7.6,8.9,9.8,Sangat Manis
7.7,7.9,8.1,Sangat Manis
8.5,8.8,9.5,Sangat Manis
7.5,7.9,7.7,Sangat Manis
7.6,7.7,8.5,Sangat Manis
7.3,8.4,8.4,Sangat Manis
8.7,9.5,10.7,Sangat Manis
8.8,9.3,10.5,Sangat Manis
8,8.7,11.2,Sangat Manis
8.1,8.3,8.9,Sangat Manis
8.4,8.7,9.9,Sangat Manis
7.7,8.9,8.7,Sangat Manis
7.7,8,8.6,Sangat Manis
8,8.3,9.2,Sangat Manis
8.3,9.3,10.7,Sangat Manis
